market_segment,previous_cancellations,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,lead_time,is_canceled
Online TA,0,No Deposit,0,Transient,B,0,1,216,0
Offline TA/TO,0,Non Refund,0,Transient,A,0,1,12,1
Online TA,0,No Deposit,0,Transient,D,0,1,52,1
Direct,0,No Deposit,0,Transient-Party,D,1,1,174,0
Online TA,1,No Deposit,0,Contract,F,0,1,292,1
Online TA,0,No Deposit,0,Transient,D,0,1,208,0
Online TA,1,No Deposit,0,Transient,G,0,1,149,1
Online TA,0,No Deposit,0,Transient,F,0,0,34,1
Direct,0,No Deposit,0,Transient-Party,F,0,0,3,0
Corporate,1,No Deposit,0,Transient-Party,A,0,0,2,0
Online TA,0,No Deposit,0,Transient,F,1,1,21,0
Direct,0,No Deposit,0,Transient,Others,1,0,1,0
Online TA,0,No Deposit,0,Transient,F,0,0,47,1
Online TA,0,No Deposit,0,Contract,B,0,1,3,0
Groups,0,No Deposit,0,Transient-Party,A,1,0,5,0
Direct,1,No Deposit,0,Transient,Others,0,0,34,1
Online TA,0,No Deposit,0,Transient-Party,A,1,0,73,0
Corporate,0,No Deposit,0,Transient,D,0,1,15,0
Online TA,0,No Deposit,0,Transient,D,0,1,172,0
Online TA,0,No Deposit,0,Transient,E,0,1,312,1
Online TA,0,No Deposit,0,Transient,G,0,0,162,1
Direct,0,No Deposit,0,Transient,E,0,1,114,0
Direct,0,No Deposit,0,Transient-Party,B,0,0,69,0
Direct,0,No Deposit,0,Transient,G,0,1,2,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,59,0
Direct,1,No Deposit,0,Transient,F,0,1,1,0
Corporate,1,No Deposit,0,Transient,A,1,0,32,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,156,0
Online TA,0,No Deposit,0,Transient-Party,E,0,0,154,1
Corporate,1,No Deposit,0,Transient,A,0,1,17,0
Online TA,0,No Deposit,0,Transient,E,0,1,40,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,81,0
Online TA,0,No Deposit,0,Transient,A,0,1,72,1
Online TA,0,No Deposit,0,Transient,D,0,0,26,0
Online TA,0,No Deposit,0,Transient,Others,0,0,32,1
Direct,0,No Deposit,0,Transient,D,0,0,31,0
Direct,0,No Deposit,0,Transient,F,0,0,152,1
Direct,0,No Deposit,0,Transient,A,0,1,84,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,230,0
Online TA,0,No Deposit,0,Transient,F,0,1,45,1
Others,0,No Deposit,0,Transient-Party,A,0,0,5,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,243,0
Online TA,0,No Deposit,0,Transient,G,1,0,72,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,270,0
Online TA,0,No Deposit,0,Transient,A,0,1,38,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,96,0
Direct,0,No Deposit,0,Transient-Party,A,1,1,159,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,186,0
Others,0,No Deposit,0,Transient,F,1,1,47,0
Online TA,0,No Deposit,0,Transient,B,0,0,32,1
Direct,0,No Deposit,0,Transient,A,0,0,57,1
Corporate,0,No Deposit,0,Transient,E,0,1,5,1
Corporate,0,No Deposit,0,Transient,D,0,0,19,0
Offline TA/TO,0,No Deposit,0,Transient,D,1,1,82,0
Offline TA/TO,1,No Deposit,0,Transient,A,0,0,1,0
Online TA,0,No Deposit,0,Transient-Party,G,0,1,76,0
Online TA,0,No Deposit,0,Transient-Party,D,0,0,0,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,448,0
Direct,0,No Deposit,0,Transient,A,0,1,68,0
Online TA,0,No Deposit,0,Transient,G,1,0,76,0
Online TA,0,No Deposit,0,Transient,F,1,0,13,0
Online TA,0,No Deposit,0,Transient,G,0,0,285,0
Groups,0,No Deposit,0,Contract,A,1,1,131,0
Corporate,0,No Deposit,0,Transient,D,1,1,0,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,29,0
Offline TA/TO,0,No Deposit,0,Transient-Party,D,0,1,173,0
Online TA,0,No Deposit,0,Transient,B,0,0,173,1
Offline TA/TO,1,No Deposit,0,Contract,A,0,0,202,1
Online TA,0,No Deposit,0,Transient,A,0,0,61,1
Online TA,0,No Deposit,0,Transient-Party,B,0,1,31,0
Direct,0,No Deposit,0,Transient,E,1,1,42,0
Offline TA/TO,0,No Deposit,0,Transient,Others,0,1,126,0
Others,0,No Deposit,0,Transient,D,0,0,0,0
Online TA,0,No Deposit,0,Transient,E,0,1,13,0
Online TA,0,No Deposit,0,Transient,A,0,0,38,1
Online TA,0,No Deposit,0,Transient,A,0,1,72,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,207,1
Online TA,0,No Deposit,0,Transient,A,0,1,143,1
Online TA,0,No Deposit,0,Transient,A,0,1,42,0
Online TA,0,No Deposit,0,Transient,A,0,1,1,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,145,0
Online TA,0,No Deposit,0,Transient,F,0,0,99,1
Offline TA/TO,0,No Deposit,0,Transient,Others,0,1,53,0
Online TA,0,No Deposit,0,Transient,D,0,0,52,1
Direct,0,No Deposit,0,Transient,G,1,0,31,0
Offline TA/TO,0,No Deposit,0,Contract,D,0,0,230,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,146,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,277,0
Direct,0,No Deposit,0,Transient,E,1,0,9,0
Direct,0,No Deposit,0,Transient,E,1,1,52,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,89,0
Online TA,1,No Deposit,0,Transient-Party,E,0,1,256,1
Direct,0,No Deposit,0,Transient,F,0,0,188,0
Online TA,0,No Deposit,0,Transient,Others,0,0,120,1
Online TA,0,No Deposit,0,Transient,G,0,0,52,1
Direct,0,No Deposit,0,Transient,A,0,1,181,0
Direct,0,No Deposit,0,Transient,Others,1,1,31,0
Groups,0,No Deposit,0,Transient,A,0,1,59,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,308,1
Online TA,0,No Deposit,0,Transient,Others,0,1,176,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,71,0
Offline TA/TO,1,No Deposit,0,Transient-Party,B,0,1,164,1
Corporate,1,No Deposit,0,Transient-Party,A,0,1,0,0
Online TA,0,No Deposit,0,Transient,D,0,1,117,1
Groups,0,No Deposit,0,Transient-Party,D,0,1,339,0
Offline TA/TO,0,No Deposit,0,Transient,E,1,0,7,0
Direct,0,No Deposit,0,Transient,F,0,1,26,0
Direct,0,No Deposit,0,Group,A,0,1,5,0
Online TA,0,No Deposit,0,Transient,G,1,1,231,0
Online TA,0,No Deposit,0,Contract,F,0,1,45,0
Online TA,0,No Deposit,0,Contract,B,1,1,39,0
Online TA,0,No Deposit,0,Transient,D,0,1,46,1
Others,0,No Deposit,0,Transient,D,1,1,22,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,1,0,85,0
Direct,0,No Deposit,0,Transient,A,1,0,2,0
Direct,0,No Deposit,0,Transient,F,0,1,37,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,336,1
Online TA,0,No Deposit,0,Transient,F,0,1,19,0
Online TA,0,No Deposit,0,Transient,D,0,1,40,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,173,0
Online TA,0,No Deposit,0,Group,A,0,0,51,0
Corporate,0,No Deposit,0,Transient,Others,1,1,2,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,219,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,20,0
Corporate,0,No Deposit,0,Transient,A,0,0,12,0
Online TA,0,No Deposit,0,Transient,A,0,1,286,0
Online TA,0,No Deposit,0,Transient,D,0,1,12,1
Direct,0,No Deposit,0,Transient,Others,1,1,75,0
Direct,0,No Deposit,0,Transient,E,0,1,132,0
Online TA,0,No Deposit,0,Contract,B,0,1,268,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,12,0
Direct,0,No Deposit,0,Transient,E,0,0,1,1
Direct,0,No Deposit,0,Transient,G,0,1,109,1
Offline TA/TO,0,No Deposit,0,Contract,E,0,0,76,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,0,61,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,30,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,307,0
Direct,0,No Deposit,0,Transient,G,0,0,14,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,137,0
Online TA,0,No Deposit,0,Transient,A,0,1,350,1
Online TA,0,No Deposit,0,Transient,F,0,1,326,0
Online TA,0,No Deposit,0,Transient,A,0,1,133,1
Corporate,0,No Deposit,0,Transient-Party,E,0,0,10,0
Corporate,1,No Deposit,0,Transient,A,0,1,4,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,161,0
Online TA,0,No Deposit,0,Transient,A,0,0,6,1
Direct,0,No Deposit,0,Transient-Party,E,0,1,129,0
Online TA,0,No Deposit,0,Transient,B,0,0,97,1
Groups,0,No Deposit,0,Transient-Party,G,0,0,4,1
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,102,1
Online TA,0,No Deposit,0,Transient,D,1,1,18,0
Online TA,0,No Deposit,0,Transient,A,0,1,209,1
Groups,0,No Deposit,0,Transient,B,0,0,136,0
Online TA,1,No Deposit,0,Transient,G,0,0,136,1
Online TA,0,No Deposit,0,Transient,A,0,1,305,1
Online TA,0,No Deposit,0,Transient,G,0,1,86,1
Online TA,1,No Deposit,0,Transient-Party,A,0,1,18,0
Online TA,0,No Deposit,0,Transient,D,0,0,27,0
Online TA,0,No Deposit,0,Transient,A,0,1,32,0
Online TA,0,No Deposit,0,Transient-Party,F,0,1,80,0
Groups,0,No Deposit,0,Transient,A,0,0,47,0
Direct,0,No Deposit,0,Transient,E,0,1,12,0
Corporate,0,No Deposit,0,Contract,A,0,1,37,1
Online TA,0,No Deposit,0,Transient-Party,D,0,0,85,1
Online TA,0,No Deposit,0,Transient,Others,0,1,33,0
Direct,0,No Deposit,0,Transient-Party,E,0,0,84,0
Direct,0,No Deposit,0,Transient-Party,A,0,0,161,0
Direct,0,No Deposit,0,Transient,D,0,1,43,0
Groups,0,No Deposit,0,Transient-Party,A,1,1,134,0
Direct,0,No Deposit,0,Transient-Party,D,0,0,121,0
Corporate,1,No Deposit,0,Transient,A,1,0,2,0
Online TA,0,No Deposit,0,Transient,E,0,1,67,0
Online TA,0,No Deposit,0,Transient,D,0,1,188,0
Online TA,0,No Deposit,0,Contract,A,0,1,26,0
Online TA,0,No Deposit,0,Transient,B,1,1,169,0
Online TA,0,No Deposit,0,Transient-Party,B,0,0,2,0
Online TA,0,No Deposit,0,Transient,F,0,1,20,0
Direct,0,No Deposit,0,Transient,F,1,1,184,0
Online TA,0,No Deposit,0,Transient-Party,Others,0,1,152,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,114,0
Online TA,0,No Deposit,0,Transient,B,0,1,71,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,92,0
Online TA,0,No Deposit,0,Transient,D,0,0,4,0
Others,0,No Deposit,0,Transient,A,0,1,64,1
Online TA,0,No Deposit,0,Transient,F,0,1,288,1
Direct,0,No Deposit,0,Transient,G,0,0,322,0
Direct,0,No Deposit,0,Transient-Party,E,0,1,125,0
Direct,0,No Deposit,0,Transient,G,0,1,0,0
Online TA,0,No Deposit,0,Transient,E,0,1,140,1
Online TA,0,No Deposit,0,Transient,D,1,1,27,0
Online TA,0,No Deposit,0,Transient,D,0,1,66,1
Online TA,0,No Deposit,0,Transient,A,0,1,134,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,26,0
Online TA,0,No Deposit,0,Transient,A,1,0,6,0
Direct,0,No Deposit,0,Transient-Party,A,0,1,30,0
Online TA,0,No Deposit,0,Transient,A,0,1,24,1
Corporate,0,No Deposit,0,Transient,D,1,0,5,0
Corporate,0,No Deposit,0,Transient,A,0,0,24,0
Corporate,0,No Deposit,0,Transient,A,1,1,11,0
Online TA,0,No Deposit,0,Transient,D,0,1,153,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,364,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,71,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,28,0
Corporate,0,No Deposit,0,Transient,Others,0,0,0,0
Online TA,0,No Deposit,0,Transient,D,0,0,3,0
Direct,0,No Deposit,0,Transient,Others,0,1,154,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,36,0
Online TA,0,No Deposit,0,Transient,B,0,1,3,0
Online TA,0,No Deposit,0,Transient,Others,0,0,314,1
Online TA,0,No Deposit,0,Group,D,1,0,8,0
Direct,0,No Deposit,0,Group,E,0,1,12,0
Offline TA/TO,0,Non Refund,0,Transient-Party,A,0,1,167,0
Online TA,0,No Deposit,0,Transient,D,0,0,34,1
Online TA,0,No Deposit,0,Transient,A,0,1,34,1
Direct,0,No Deposit,0,Transient,D,0,1,1,1
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,34,0
Direct,0,No Deposit,0,Transient,A,0,1,58,0
Direct,0,No Deposit,0,Transient,A,0,1,143,1
Online TA,0,No Deposit,0,Transient,D,0,1,86,1
Online TA,0,No Deposit,0,Transient-Party,D,0,1,53,0
Direct,0,No Deposit,0,Transient,E,0,0,137,1
Online TA,0,No Deposit,0,Transient,A,0,0,74,1
Online TA,0,No Deposit,0,Contract,D,1,0,12,0
Groups,0,Refundable,0,Transient-Party,A,1,0,223,0
Direct,0,No Deposit,0,Transient-Party,A,0,1,6,0
Direct,0,No Deposit,0,Transient,D,0,0,10,1
Direct,0,No Deposit,0,Transient,G,1,0,19,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,223,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,386,0
Online TA,0,No Deposit,0,Transient,G,0,0,26,0
Others,0,No Deposit,0,Transient,G,1,1,0,0
Online TA,0,No Deposit,0,Transient,E,0,0,93,0
Online TA,0,No Deposit,0,Transient,E,1,1,88,0
Direct,0,No Deposit,0,Transient,Others,0,1,160,0
Corporate,1,No Deposit,0,Transient-Party,A,0,0,4,0
Online TA,0,No Deposit,0,Contract,A,0,0,23,0
Online TA,0,No Deposit,0,Transient,E,0,0,4,0
Online TA,0,No Deposit,0,Transient,A,1,1,82,0
Direct,0,No Deposit,0,Transient,B,0,0,213,0
Direct,0,No Deposit,0,Group,D,0,1,24,0
Offline TA/TO,0,No Deposit,0,Transient,D,1,1,97,0
Online TA,0,No Deposit,0,Transient,E,1,0,63,0
Online TA,0,No Deposit,0,Transient,D,0,1,6,0
Offline TA/TO,0,No Deposit,0,Transient-Party,B,0,0,46,0
Online TA,0,No Deposit,0,Transient,E,1,0,44,0
Online TA,0,No Deposit,0,Transient,A,1,1,73,0
Online TA,0,No Deposit,0,Transient-Party,D,0,0,8,0
Direct,0,No Deposit,0,Transient,D,0,1,53,0
Online TA,0,No Deposit,0,Transient,A,0,1,153,0
Online TA,0,No Deposit,0,Transient,Others,0,1,165,0
Online TA,0,No Deposit,0,Transient,A,0,1,31,1
Online TA,0,No Deposit,0,Transient,F,0,0,19,0
Online TA,0,No Deposit,0,Transient,G,1,0,335,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,42,1
Direct,0,No Deposit,0,Transient,A,0,0,65,1
Direct,0,No Deposit,0,Transient,A,0,0,77,1
Online TA,0,No Deposit,0,Transient,Others,0,0,148,1
Offline TA/TO,0,No Deposit,0,Contract,E,0,1,133,0
Offline TA/TO,0,No Deposit,0,Group,D,0,0,258,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,0,52,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,89,1
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,109,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,23,0
Direct,1,No Deposit,0,Transient,E,0,1,46,0
Online TA,0,No Deposit,0,Transient,D,0,1,20,1
Online TA,0,No Deposit,0,Transient-Party,A,0,0,57,1
Groups,0,No Deposit,0,Transient-Party,A,0,0,18,0
Online TA,0,No Deposit,0,Transient,D,0,0,45,0
Online TA,0,No Deposit,0,Transient,A,1,1,130,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,1,0
Direct,0,No Deposit,0,Transient,D,0,0,114,0
Direct,0,No Deposit,0,Transient-Party,A,0,1,29,0
Online TA,0,No Deposit,0,Transient,D,1,1,56,0
Online TA,0,No Deposit,0,Transient,F,0,1,96,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,0,211,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,0,2,1
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,180,0
Direct,0,No Deposit,0,Transient,F,0,1,166,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,32,1
Online TA,0,No Deposit,0,Transient,A,0,0,159,1
Online TA,0,No Deposit,0,Transient-Party,A,1,1,120,0
Online TA,0,No Deposit,0,Transient,B,0,0,62,1
Online TA,0,No Deposit,0,Transient,E,1,0,32,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,239,0
Online TA,0,No Deposit,0,Transient,B,0,1,188,0
Direct,0,No Deposit,0,Transient,E,0,1,39,0
Online TA,0,No Deposit,0,Transient,D,1,1,231,0
Online TA,0,No Deposit,0,Transient,B,0,0,128,0
Direct,0,No Deposit,0,Transient,F,1,1,0,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,352,0
Online TA,0,No Deposit,0,Transient,D,0,1,21,0
Offline TA/TO,0,No Deposit,0,Group,D,0,1,351,0
Online TA,0,No Deposit,0,Transient,G,0,1,311,1
Others,0,No Deposit,0,Transient,D,0,1,62,0
Online TA,0,No Deposit,0,Transient,A,1,1,153,0
Direct,0,No Deposit,0,Transient,D,1,0,191,0
Direct,0,No Deposit,0,Transient,F,0,1,76,0
Online TA,1,No Deposit,0,Transient,Others,0,1,216,1
Online TA,0,No Deposit,0,Transient,D,0,1,120,1
Online TA,0,No Deposit,0,Transient,D,0,0,50,1
Online TA,0,No Deposit,0,Transient,D,0,1,93,0
Online TA,0,No Deposit,0,Transient,B,0,1,30,1
Online TA,0,No Deposit,0,Transient-Party,E,0,0,9,0
Online TA,0,No Deposit,0,Transient,F,0,1,17,1
Others,1,No Deposit,0,Transient-Party,D,0,0,20,1
Groups,0,No Deposit,0,Transient-Party,D,0,0,339,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,110,0
Online TA,0,No Deposit,0,Transient,D,0,1,42,1
Online TA,0,No Deposit,0,Transient,A,1,1,37,0
Online TA,0,No Deposit,0,Transient,A,1,1,113,0
Direct,0,No Deposit,0,Transient,B,0,0,46,0
Offline TA/TO,0,No Deposit,0,Transient-Party,D,0,1,116,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,76,1
Online TA,0,No Deposit,0,Transient,Others,0,0,9,0
Online TA,0,No Deposit,0,Transient,A,0,0,26,1
Direct,0,No Deposit,0,Transient,G,1,1,12,0
Direct,0,No Deposit,0,Transient-Party,E,0,1,181,0
Online TA,0,No Deposit,0,Transient,F,0,0,39,1
Online TA,0,No Deposit,0,Contract,D,0,1,10,0
Groups,0,No Deposit,0,Transient,E,0,1,45,0
Online TA,0,No Deposit,0,Transient,D,0,1,104,1
Online TA,0,No Deposit,0,Transient,Others,0,1,305,1
Direct,0,No Deposit,0,Transient,F,0,1,78,1
Direct,0,No Deposit,0,Transient,Others,0,0,5,0
Direct,0,No Deposit,0,Transient,Others,0,0,74,1
Groups,0,Refundable,0,Transient-Party,A,0,0,169,1
Online TA,0,No Deposit,0,Transient,Others,1,1,178,0
Direct,0,No Deposit,0,Transient-Party,B,0,1,63,1
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,159,0
Corporate,0,No Deposit,0,Transient,A,0,1,29,0
Groups,0,No Deposit,0,Transient-Party,A,1,0,364,0
Online TA,0,No Deposit,0,Transient,E,0,0,3,0
Offline TA/TO,0,No Deposit,0,Group,A,0,0,3,0
Offline TA/TO,0,No Deposit,0,Transient,E,1,1,49,0
Online TA,0,No Deposit,0,Transient,A,0,1,38,1
Online TA,0,No Deposit,0,Transient,Others,0,1,33,1
Corporate,0,No Deposit,0,Transient,D,0,0,13,0
Online TA,1,No Deposit,0,Transient,A,0,0,399,1
Offline TA/TO,0,No Deposit,0,Transient,D,1,0,98,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,0,201,0
Direct,0,No Deposit,0,Transient,F,1,1,4,0
Offline TA/TO,0,No Deposit,0,Transient,Others,0,0,62,0
Direct,0,No Deposit,0,Transient,D,0,0,192,1
Online TA,0,No Deposit,0,Transient,B,0,0,217,0
Direct,0,No Deposit,0,Transient,D,0,0,163,0
Direct,0,No Deposit,0,Transient-Party,D,0,1,154,0
Online TA,0,No Deposit,0,Transient,D,0,1,15,0
Online TA,0,No Deposit,0,Transient,A,0,1,34,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,232,0
Others,0,No Deposit,0,Transient-Party,B,0,1,9,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,37,0
Online TA,0,No Deposit,0,Transient,D,0,1,97,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,85,0
Online TA,0,No Deposit,0,Transient,A,1,1,61,0
Groups,0,No Deposit,0,Transient-Party,A,1,1,365,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,87,0
Online TA,0,No Deposit,0,Transient,G,0,1,177,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,181,1
Direct,0,No Deposit,0,Transient,D,0,0,50,1
Online TA,0,No Deposit,0,Group,A,0,1,124,0
Direct,0,No Deposit,0,Transient,A,0,0,58,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,62,0
Online TA,0,No Deposit,0,Transient-Party,E,1,1,241,0
Online TA,0,No Deposit,0,Transient,E,0,0,162,1
Online TA,0,No Deposit,0,Transient-Party,G,1,1,66,0
Online TA,0,No Deposit,0,Transient,D,1,1,116,0
Direct,0,No Deposit,0,Transient,F,0,0,177,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,7,0
Online TA,0,No Deposit,0,Transient,G,0,0,131,0
Direct,0,No Deposit,0,Transient,F,0,0,144,0
Online TA,0,No Deposit,0,Transient,A,0,0,232,0
Online TA,0,No Deposit,0,Transient-Party,B,0,0,50,1
Online TA,0,No Deposit,0,Transient,D,0,1,309,1
Online TA,0,No Deposit,0,Transient,E,1,1,79,0
Online TA,0,No Deposit,0,Transient,A,0,0,76,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,7,0
Offline TA/TO,0,No Deposit,0,Transient-Party,F,0,1,11,0
Online TA,0,No Deposit,0,Transient,A,0,1,16,0
Others,0,No Deposit,0,Transient,F,0,1,19,0
Direct,0,No Deposit,0,Transient,A,0,1,50,0
Offline TA/TO,0,No Deposit,0,Transient-Party,D,0,0,117,1
Online TA,0,No Deposit,0,Transient,F,0,1,18,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,23,0
Offline TA/TO,0,No Deposit,0,Transient,D,1,1,128,0
Direct,0,No Deposit,0,Transient,D,1,0,100,0
Online TA,0,Refundable,0,Transient,A,0,1,14,1
Online TA,0,Refundable,0,Transient,A,0,1,1,1
Direct,0,No Deposit,0,Transient,E,1,1,147,0
Online TA,0,No Deposit,0,Transient,D,0,1,29,1
Others,0,No Deposit,0,Transient,D,0,0,2,0
Others,0,No Deposit,0,Transient,A,0,0,21,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,84,0
Direct,0,No Deposit,0,Transient,F,0,1,109,1
Groups,0,No Deposit,0,Transient-Party,F,0,0,192,0
Corporate,0,No Deposit,0,Transient-Party,A,1,1,43,0
Online TA,0,No Deposit,0,Transient,F,0,0,296,1
Online TA,0,No Deposit,0,Transient,Others,0,1,119,1
Online TA,0,No Deposit,0,Transient-Party,D,0,0,84,0
Online TA,0,No Deposit,0,Transient,G,0,0,143,1
Online TA,0,No Deposit,0,Transient,E,0,1,1,0
Direct,0,No Deposit,0,Transient,D,1,1,5,0
Offline TA/TO,0,No Deposit,0,Contract,D,0,0,88,0
Direct,0,No Deposit,0,Transient,G,0,1,347,1
Online TA,0,No Deposit,0,Transient,A,0,0,46,0
Offline TA/TO,0,No Deposit,0,Contract,D,0,1,97,0
Online TA,0,No Deposit,0,Transient-Party,E,1,1,2,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,91,1
Groups,0,Non Refund,0,Transient,Others,0,0,124,1
Online TA,0,No Deposit,0,Transient,A,1,0,9,0
Direct,0,No Deposit,0,Transient-Party,F,0,0,71,0
Online TA,0,No Deposit,0,Transient,D,0,1,163,0
Online TA,0,No Deposit,0,Transient,B,0,1,259,0
Offline TA/TO,0,No Deposit,0,Transient,Others,0,1,159,1
Groups,0,No Deposit,0,Contract,A,0,1,131,0
Online TA,0,No Deposit,0,Transient,D,0,1,27,0
Groups,0,No Deposit,0,Transient-Party,D,0,1,21,1
Online TA,0,No Deposit,0,Contract,A,0,1,44,0
Online TA,0,No Deposit,0,Transient,D,0,1,70,0
Offline TA/TO,0,No Deposit,0,Transient-Party,D,0,1,0,0
Online TA,0,No Deposit,0,Transient,E,0,1,64,0
Direct,0,No Deposit,0,Transient-Party,Others,0,0,80,0
Online TA,0,No Deposit,0,Transient,A,0,1,84,0
Online TA,0,No Deposit,0,Transient,B,0,1,204,0
Offline TA/TO,0,No Deposit,0,Transient-Party,F,0,0,5,0
Online TA,1,No Deposit,0,Group,A,0,0,361,1
Direct,0,No Deposit,0,Transient-Party,A,0,1,84,0
Online TA,0,No Deposit,0,Transient,A,1,1,198,0
Online TA,0,No Deposit,0,Transient,B,0,1,125,0
Direct,0,No Deposit,0,Transient-Party,G,0,1,155,0
Groups,0,No Deposit,0,Transient,A,1,1,16,0
Direct,0,No Deposit,0,Transient,D,0,0,96,0
Online TA,0,No Deposit,0,Transient,A,0,1,29,1
Online TA,0,No Deposit,0,Transient,A,0,1,170,0
Online TA,0,No Deposit,0,Transient,F,0,0,27,0
Corporate,0,No Deposit,0,Contract,A,0,0,9,0
Direct,0,No Deposit,0,Transient,G,0,1,9,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,268,0
Online TA,0,No Deposit,0,Transient,D,0,1,63,1
Offline TA/TO,0,No Deposit,0,Transient,B,0,0,75,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,397,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,148,0
Others,0,No Deposit,0,Transient,Others,0,1,37,0
Online TA,0,No Deposit,0,Transient,F,1,0,58,0
Direct,0,No Deposit,0,Transient,Others,0,0,79,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,206,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,185,0
Direct,0,No Deposit,0,Transient,A,0,0,4,0
Online TA,0,No Deposit,0,Transient,A,0,1,198,0
Online TA,0,No Deposit,0,Contract,B,0,1,150,1
Online TA,0,No Deposit,0,Transient-Party,A,1,1,8,0
Direct,0,No Deposit,0,Transient,E,0,0,159,0
Corporate,0,No Deposit,0,Contract,A,0,1,43,0
Online TA,0,No Deposit,0,Transient,G,0,1,89,0
Offline TA/TO,0,No Deposit,0,Contract,E,0,1,119,0
Online TA,0,No Deposit,0,Transient,G,1,1,34,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,73,0
Online TA,0,No Deposit,0,Transient,A,0,0,128,1
Online TA,0,No Deposit,0,Transient,A,0,0,28,1
Direct,0,No Deposit,0,Group,G,0,0,0,0
Online TA,0,No Deposit,0,Transient,B,0,1,201,0
Online TA,0,No Deposit,0,Transient-Party,A,1,0,80,0
Online TA,0,No Deposit,0,Transient,D,1,1,96,0
Online TA,0,No Deposit,0,Transient,D,1,1,5,0
